date,chl,phy,ph,Celsius,spcond,do,turb,Salinity
8/7/2015,2.285052632,2.665473684,8.933789474,28.15389474,0.196642105,9.452315789,5.682736842,4.385036048
8/8/2015,2.11287234,2.734574468,8.868085106,27.56297872,0.19787234,9.559893617,5.746276596,4.469013666
8/9/2015,1.687052632,2.928736842,8.686947368,27.17336842,0.207084211,8.789789474,5.535473684,4.730879703
8/10/2015,1.488541667,2.953125,8.692916667,27.602,0.217385417,9.015520833,5.233789474,4.939601739
8/11/2015,1.464148936,2.675106383,8.726170213,27.03744681,0.216978495,8.680106383,4.706595745,4.98816379
8/12/2015,1.3246875,2.519375,8.718333333,27.57510417,0.227510417,8.902291667,4.492291667,5.190120422
8/13/2015,1.2415625,2.027916667,8.729583333,28.03708333,0.232489583,9.084791667,4.110416667,5.261968405
8/14/2015,1.409468085,1.90393617,8.698085106,28.10946809,0.219712766,9.304787234,3.945212766,4.945172754
8/15/2015,1.258020833,1.771458333,8.719375,28.63458333,0.21959375,9.444479167,3.924270833,4.888143848
8/16/2015,1.056421053,1.61,8.737894737,29.32336842,0.222884211,9.504315789,3.968947368,4.897053371
8/17/2015,0.923020833,1.474583333,8.617395833,29.37625,0.220208333,9.065520833,3.949791667,4.829560186
8/18/2015,0.8303125,1.168125,8.366145833,29.986875,0.219916667,8.124583333,3.653020833,4.76210829
8/19/2015,0.856666667,1.132083333,8.1865625,29.53625,0.218989583,7.7375,3.566979167,4.784732716
8/20/2015,1.094583333,1.4309375,8.2740625,29.49333333,0.222239583,8.1075,4.082916667,4.864936039
8/21/2015,1.466105263,1.682526316,8.074526316,29.36694737,0.221136842,7.667789474,4.690105263,4.851681478
8/22/2015,1.713020833,1.743229167,8.1640625,29.27447917,0.223989583,7.910729167,4.400520833,4.928236414
8/23/2015,1.844479167,1.460104167,7.733229167,28.83166667,0.23109375,6.83,3.745208333,5.142386109
8/24/2015,2.175416667,1.4234375,7.7434375,28.66708333,0.22896875,7.016458333,3.469479167,5.108765316
8/25/2015,2.656666667,1.6221875,7.9809375,28.36677083,0.2211875,8.06125,3.913333333,4.95330956
8/26/2015,2.887263158,2.050842105,8.305578947,28.94231579,0.215926316,9.108210526,4.240526316,4.770486954
8/27/2015,3.089578947,2.309578947,8.661789474,28.98863158,0.214946809,10.17494737,4.511578947,4.741967629
8/28/2015,2.881052632,2.352421053,8.812,28.27010526,0.210063158,10.514,5.014526316,4.695480703
8/29/2015,2.362105263,2.453368421,8.737157895,27.81652632,0.203242105,10.26073684,5.369157895,4.57525768
8/30/2015,1.842291667,2.697604167,8.807395833,28.20489583,0.20634375,10.4265625,5.815,4.6127473
8/31/2015,1.691789474,3.131789474,8.930210526,28.73494737,0.208831579,10.81884211,6.658210526,4.621436195
9/1/2015,1.849895833,3.648645833,9.00375,28.36625,0.213760417,10.97635417,10.11239583,4.774889058
9/2/2015,1.396458333,3.701458333,8.9375,28.17270833,0.211125,10.59958333,8.24625,4.731281025
9/3/2015,1.375416667,4.122604167,9.054270833,28.761875,0.212708333,11.07479167,8.912291667,4.710943682
9/4/2015,1.342473118,4.136451613,8.96688172,27.64236559,0.217526882,10.15913978,8.902795699,4.939319384
9/5/2015,1.223263158,4.060210526,8.878105263,27.70936842,0.231452632,9.691157895,8.895263158,5.272343402
9/6/2015,1.112446809,4.236382979,8.902553191,27.545,0.234510638,9.80212766,8.945851064,5.366139084
9/7/2015,1.094255319,4.26712766,8.945638298,27.62042553,0.238734043,9.864468085,8.969893617,5.461693027
9/8/2015,1.161684211,4.370736842,9.044631579,28.54505263,0.243494737,10.26021053,8.883894737,5.472842584
9/9/2015,1.168723404,4.378297872,9.019042553,28.54255319,0.241202128,9.738510638,9.599574468,5.417240083
9/10/2015,1.274842105,4.587473684,8.903368421,28.07842105,0.242389474,8.387789474,9.552631579,5.498416404
9/11/2015,1.233333333,4.397604167,8.769791667,27.07697917,0.25478125,7.832604167,9.206041667,5.923818843
9/12/2015,1.177204301,4.450645161,8.676451613,27.10290323,0.264870968,7.931505376,9.457204301,6.174565023
9/13/2015,1.2115625,4.443125,8.4496875,26.1746875,0.2626875,7.204375,9.269375,6.241334026
9/14/2015,1.122,4.235368421,8.538,25.32389474,0.261884211,8.097789474,9.357894737,6.335564955
9/15/2015,1.231914894,4.731702128,8.735,25.52606383,0.269425532,9.592234043,9.605531915,6.505192997
9/16/2015,1.294673913,4.679673913,8.834673913,25.58978261,0.265663043,10.2626087,10.1051087,6.39743784
9/17/2015,1.289673913,4.077282609,8.804130435,25.59538462,0.258097826,10.35086957,9.620217391,6.201778213
9/18/2015,1.269473684,3.806947368,8.912842105,26.63378947,0.257147368,10.90621053,9.222315789,6.040823159
9/19/2015,1.161052632,3.273157895,8.814210526,26.57378947,0.258273684,9.767578947,7.693052632,6.076444965
9/20/2015,1.07606383,2.675319149,8.655957447,26.09308511,0.265031915,8.611914894,6.616702128,6.312574098
9/21/2015,1.034725275,2.488571429,8.466373626,24.77054945,0.276,7.673076923,6.147802198,6.785579908
9/22/2015,1.160842105,2.518736842,8.385578947,24.73305263,0.290368421,7.622421053,6.357578947,7.173886459
9/23/2015,1.193978495,1.909462366,8.233978495,24.64064516,0.295903226,7.46172043,5.842258065,7.336594527
9/24/2015,0.830425532,0.854468085,7.882446809,24.38414894,0.294074468,6.458510638,3.78287234,7.328366488
9/25/2015,0.7871875,0.462604167,7.707395833,24.06114583,0.299395833,6.050520833,3.010729167,7.52527672
9/26/2015,0.708736842,0.389789474,7.580105263,23.79526316,0.317726316,5.809368421,2.873157895,8.072817428
9/27/2015,0.802708333,0.524270833,7.5865625,23.73375,0.337635417,6.1928125,3.433333333,8.632765875
9/28/2015,1.0934375,0.870625,7.706354167,23.9353125,0.337177083,6.931770833,3.8175,8.582674289
9/29/2015,1.69106383,1.169255319,7.884361702,24.81510638,0.334276596,7.789255319,4.235212766,8.338850813
9/30/2015,2.233684211,1.404631579,7.941263158,24.22326316,0.299642105,8.092105263,4.804947368,7.49499629
10/1/2015,1.824516129,1.166236559,7.582258065,22.05172043,0.234419355,7.374946237,5.115806452,6.045389434
10/2/2015,1.455368421,0.822,7.310526316,20.91778947,0.221126316,6.226526316,4.078526316,5.825993635
10/3/2015,1.118,0.610315789,7.238842105,19.53715789,0.212547368,6.112,2.912105263,5.767441395
10/4/2015,1.082421053,0.531157895,7.263578947,18.08221053,0.201621053,6.778736842,2.444210526,5.642123622
10/5/2015,1.224791667,0.505416667,7.291041667,18.47291667,0.197458333,7.229270833,2.206875,5.465001912
10/6/2015,1.35787234,0.522978723,7.304042553,18.57468085,0.191861702,7.504893617,2.19787234,5.286269376
10/7/2015,1.770107527,0.591505376,7.344086022,18.97354839,0.188075269,7.937311828,2.279354839,5.125889182
10/8/2015,2.567234043,0.723723404,7.407765957,19.1343617,0.176414894,8.545531915,2.580638298,4.766778128
10/9/2015,2.664631579,0.657894737,7.345368421,18.96852632,0.175421053,8.395052632,2.609684211,4.75638708
10/10/2015,3.538842105,0.889578947,7.551894737,19.02757895,0.181410526,9.145052632,2.768105263,4.923983696
10/11/2015,3.206105263,0.754315789,7.483368421,19.02284211,0.186347368,9.068842105,2.788631579,5.068546384
10/12/2015,3.497526882,0.834731183,7.641827957,19.44086022,0.188634409,9.51483871,2.827419355,5.085100216
10/13/2015,3.647765957,0.850425532,7.583191489,18.56574468,0.183,9.379255319,2.762553191,5.025446778
10/14/2015,3.057419355,0.740107527,7.578064516,18.06268817,0.182010753,9.343763441,2.805913978,5.057151869
